year,state_name,county_name,Value
2020,ILLINOIS,GREENE,4.844048069620173
2019,ILLINOIS,GREENE,4.8694494753339645
2018,ILLINOIS,GREENE,5.263171263897744
2017,ILLINOIS,GREENE,5.090441705043958
2016,ILLINOIS,GREENE,4.7475227279077625
2015,ILLINOIS,GREENE,3.8229115599257266
2014,ILLINOIS,GREENE,5.04979945590189
2013,ILLINOIS,GREENE,4.252195316488815
2020,ILLINOIS,JERSEY,4.8821501781908605
2019,ILLINOIS,JERSEY,4.661157948480869
2017,ILLINOIS,JERSEY,4.369041782772259
2016,ILLINOIS,JERSEY,4.4604868433419105
2015,ILLINOIS,JERSEY,4.0388235084929605
2014,ILLINOIS,JERSEY,5.077741002187062
2013,ILLINOIS,JERSEY,4.645917105052594
2021,ILLINOIS,MACOUPIN,5.009157206759822
2020,ILLINOIS,MACOUPIN,4.874529756476724
2019,ILLINOIS,MACOUPIN,4.648457245623973
2018,ILLINOIS,MACOUPIN,5.468922650179461
2017,ILLINOIS,MACOUPIN,4.8415079290487935
2016,ILLINOIS,MACOUPIN,5.0599600181874065
2015,ILLINOIS,MACOUPIN,3.873714371353311
2014,ILLINOIS,MACOUPIN,5.067580439901544
2013,ILLINOIS,MACOUPIN,4.330939674201571
2021,ILLINOIS,MADISON,5.2784121073260195
2020,ILLINOIS,MADISON,4.722121322193971
2019,ILLINOIS,MADISON,5.037098753044994
2018,ILLINOIS,MADISON,5.024398050188098
2017,ILLINOIS,MADISON,4.518910076483633
2016,ILLINOIS,MADISON,4.369041782772259
2015,ILLINOIS,MADISON,4.313158690201917
2014,ILLINOIS,MADISON,4.866909334762585
2013,ILLINOIS,MADISON,4.1759910993474385
2021,ILLINOIS,MONTGOMERY,5.390178292466705
2020,ILLINOIS,MONTGOMERY,4.846588210191553
2019,ILLINOIS,MONTGOMERY,4.767843852478796
2018,ILLINOIS,MONTGOMERY,5.6594331930329025
2017,ILLINOIS,MONTGOMERY,5.004076925617063
2016,ILLINOIS,MONTGOMERY,5.001536785045685
2015,ILLINOIS,MONTGOMERY,4.313158690201917
2014,ILLINOIS,MONTGOMERY,5.2098283118987805
2013,ILLINOIS,MONTGOMERY,4.645917105052594
2020,ILLINOIS,MORGAN,5.153945219328438
2019,ILLINOIS,MORGAN,5.227609295898436
2018,ILLINOIS,MORGAN,5.804221205601518
2017,ILLINOIS,MORGAN,5.001536785045685
2016,ILLINOIS,MORGAN,5.222529014755676
2015,ILLINOIS,MORGAN,4.572253028482597
2014,ILLINOIS,MORGAN,5.672133895889799
2013,ILLINOIS,MORGAN,4.856748772477069
2020,ILLINOIS,PIKE,4.686559354194661
2018,ILLINOIS,PIKE,4.638296683338456
2017,ILLINOIS,PIKE,4.85166849133431
2016,ILLINOIS,PIKE,4.615435418196043
2015,ILLINOIS,PIKE,3.401248225076776
2014,ILLINOIS,PIKE,5.067580439901544
2013,ILLINOIS,PIKE,4.173450958776059
2021,ILLINOIS,SANGAMON,5.476543071893599
2020,ILLINOIS,SANGAMON,5.151405078757059
2019,ILLINOIS,SANGAMON,5.240309998755332
2018,ILLINOIS,SANGAMON,6.004892310740477
2017,ILLINOIS,SANGAMON,5.70007544217497
2016,ILLINOIS,SANGAMON,5.641652209033248
2015,ILLINOIS,SANGAMON,4.661157948480869
2014,ILLINOIS,SANGAMON,5.761038815888072
2013,ILLINOIS,SANGAMON,5.034558612473615
2021,ILLINOIS,SCOTT,4.818646663906381
2020,ILLINOIS,SCOTT,4.780544555335692
2017,ILLINOIS,SCOTT,5.199667749613264
2016,ILLINOIS,SCOTT,4.910091724476033
2015,ILLINOIS,SCOTT,3.7898897324977963
2014,ILLINOIS,SCOTT,5.123463532471887
2013,ILLINOIS,SCOTT,4.272516441059848
2019,ILLINOIS,OTHER (COMBINED) COUNTIES,4.30045798734502
2018,ILLINOIS,OTHER (COMBINED) COUNTIES,5.479083212464977
2016,ILLINOIS,OTHER (COMBINED) COUNTIES,4.457946702770531
2013,ILLINOIS,OTHER (COMBINED) COUNTIES,3.9981812593508925
2021,ILLINOIS,CLARK,5.21236845247016
2020,ILLINOIS,CLARK,5.065040299330165
2018,ILLINOIS,CLARK,5.169186062756713
